content,label,type,content_without_emojis,content_preprocessed
"les draps commandés - très onéreux - sont mal ajustés. tout est trop grand malgré des dimensions de literie adaptées à ceux commandés. le drap housse est particulièrement gênant, la housse de couette également, tout dépasse, c'est très moche.  je ne recommande pas du tout.",neg,commentaire,"les draps commandés - très onéreux - sont mal ajustés. tout est trop grand malgré des dimensions de literie adaptées à ceux commandés. le drap housse est particulièrement gênant, la housse de couette également, tout dépasse, c'est très moche.  je ne recommande pas du tout.","['drap', 'commandé', 'onéreux', 'mal', 'ajuster', 'trop', 'grand', 'dimension', 'literie', 'adapter', 'commander', 'drap', 'housse', 'particulièrement', 'gêner', 'housse', 'couette', 'dépasser', 'cest', 'moche', 'recommander']"
"impossible de les joindre suite à une commande! ""si vous avez des questions, contactez mysterytea® à mystore.com ou appelez au 0123456789"" ils ne répondent pas aux mails .... et le numero n'est plus en service !!!! sympatoche tout ca ....!! pour une belle commande de thés pour se faire plaisir .... j'essaie de les signaler à la dgccrf .... merciiii pour ce mystère!!!",neg,commentaire,"impossible de les joindre suite à une commande! ""si vous avez des questions, contactez mysterytea:marque_déposée: à mystore.com ou appelez au 0123456789"" ils ne répondent pas aux mails .... et le numero n'est plus en service !!!! sympatoche tout ca ....!! pour une belle commande de thés pour se faire plaisir .... j'essaie de les signaler à la dgccrf .... merciiii pour ce mystère!!!","['impossible', 'joindre', 'suite', 'commande', 'avoir', 'question', 'contacter', 'mysteryteamarquedéposer', 'mystorecom', 'appeler', '0123456789', 'répondre', 'mail', 'numero', 'nest', 'service', 'sympatoche', 'ca', 'bel', 'commande', 'thé', 'faire', 'plaisir', 'jessaie', 'signaler', 'dgccrf', 'merciiii', 'mystère']"
dommage qu'on ne puisse pas noter rapidement les aliments ou le service client harris inadmissible regardez bien photos jointes à l'appui un pince-oreille au milieu de ma tranche de pain cela en dit long sur leur process de sécurité alimentaire 🤷,neg,commentaire,dommage qu'on ne puisse pas noter rapidement les aliments ou le service client harris inadmissible regardez bien photos jointes à l'appui un pince-oreille au milieu de ma tranche de pain cela en dit long sur leur process de sécurité alimentaire :personne_qui_hausse_les_épaules:,"['dommage', 'quon', 'pouvoir', 'noter', 'rapidement', 'aliment', 'service', 'client', 'harri', 'inadmissible', 'regarder', 'bien', 'photo', 'joindre', 'lappui', 'pinceoreille', 'milieu', 'tranche', 'pain', 'long', 'process', 'sécurité', 'alimentaire', 'personnequihausselesépaule']"
"7,80 pour une crêpe sans nutella +une piteuse boule de glace je trouve ça scandaleux.la crêpe avait le goût du plastique, j’ai demander pourquoi il n’y avait pas de nutella elle nous a répondu qu’il fallait payer en plus. les prix sont excessifs je vous déconseille",neg,commentaire,"7,80 pour une crêpe sans nutella +une piteuse boule de glace je trouve ça scandaleux.la crêpe avait le goût du plastique, j’ai demander pourquoi il n’y avait pas de nutella elle nous a répondu qu’il fallait payer en plus. les prix sont excessifs je vous déconseille","['780', 'crêpe', 'nuteller', 'piteux', 'boul', 'glace', 'trouver', 'scandaleuxler', 'crêpe', 'goût', 'plastique', 'demander', 'nuteller', 'répondre', 'falloir', 'payer', 'prix', 'excessif', 'déconseiller']"
calendrier de l’avent commandé le 25/11 livraison mi-décembre et aucun dédommagement proposé (même pas de réponse à mon mail à ce sujet): expérience client désastreuse.,neg,commentaire,calendrier de l’avent commandé le 25/11 livraison mi-décembre et aucun dédommagement proposé (même pas de réponse à mon mail à ce sujet): expérience client désastreuse.,"['calendrier', 'aver', 'commander', '2511', 'livraison', 'midécembre', 'aucun', 'dédommagement', 'proposer', 'réponse', 'mail', 'sujet', 'expérience', 'client', 'désastreux']"
"commande passée le 25 septembre, nous sommes le 14 octobre, toujours rien reçu. impossible de les joindre au téléphone, la messagerie est pleine... rien ne vas",neg,commentaire,"commande passée le 25 septembre, nous sommes le 14 octobre, toujours rien reçu. impossible de les joindre au téléphone, la messagerie est pleine... rien ne vas","['commande', 'passer', '25', 'septembre', 'être', '14', 'octobre', 'rien', 'recevoir', 'impossible', 'joindre', 'téléphone', 'messagerie', 'pleine', 'rien']"
vrai arnaque pourquoi ce site est il toujours autorisée à diffuser de la publicité sachant que c'est une arnaque. commande jamais reçu après des dizaines de mails de réclamation rien c'est un pur mensonge n'y aller pas.,neg,commentaire,vrai arnaque pourquoi ce site est il toujours autorisée à diffuser de la publicité sachant que c'est une arnaque. commande jamais reçu après des dizaines de mails de réclamation rien c'est un pur mensonge n'y aller pas.,"['vrai', 'arnaque', 'site', 'autoriser', 'diffuser', 'publicité', 'savoir', 'cest', 'arnaque', 'commande', 'jamais', 'recevoir', 'dizaine', 'mail', 'réclamation', 'rien', 'cest', 'pur', 'mensong', 'ny', 'aller']"
"il serait souhaitable que l'éxpédition soit groupée en une seule livraison, j'ai été bloqué chez moi 2 matinées faute aux envois partiels, c'est dommage et pas bon pour la planète",pos,commentaire,"il serait souhaitable que l'éxpédition soit groupée en une seule livraison, j'ai été bloqué chez moi 2 matinées faute aux envois partiels, c'est dommage et pas bon pour la planète","['souhaitable', 'léxpédition', 'groupée', 'livraison', 'jai', 'être', 'bloquer', '2', 'matinée', 'faute', 'envoi', 'partiel', 'cest', 'dommage', 'bon', 'planète']"
"énormément déçu, j' ai commandé pour la fête des mères et malheureusement pour moi je travaille, et vu que le relais est ouvert pendant les heures de travail, j'ai dû m'organiser pour partir plus tôt. et bien sûr pour tout travail qui se respecte, on doit prévenir à l'avance son employeur, manque de chance, je suis arrivé un jour en retard. le colis était déjà retourné au fournisseur. j'ai donc contacté le service client pour savoir si il pouvait me retourner le colis et bien entendu ils ont dit que ce n'était pas possible. de plus, je ne serai pas remboursé et cerise sur le gâteau. une fête des mères quelque peu gâcher. croyez-moi c'était ma première et ma dernière commande internet chez m&m's. et comptez sur moi pour bien partager mon expérience avec tout le monde.",neg,commentaire,"énormément déçu, j' ai commandé pour la fête des mères et malheureusement pour moi je travaille, et vu que le relais est ouvert pendant les heures de travail, j'ai dû m'organiser pour partir plus tôt. et bien sûr pour tout travail qui se respecte, on doit prévenir à l'avance son employeur, manque de chance, je suis arrivé un jour en retard. le colis était déjà retourné au fournisseur. j'ai donc contacté le service client pour savoir si il pouvait me retourner le colis et bien entendu ils ont dit que ce n'était pas possible. de plus, je ne serai pas remboursé et cerise sur le gâteau. une fête des mères quelque peu gâcher. croyez-moi c'était ma première et ma dernière commande internet chez m&m's. et comptez sur moi pour bien partager mon expérience avec tout le monde.","['énormément', 'déçu', 'j', 'commander', 'fête', 'mère', 'malheureusement', 'travailler', 'relais', 'heure', 'travail', 'jai', 'devoir', 'morganiser', 'partir', 'tôt', 'bien', 'sûr', 'travail', 'respecter', 'prévenir', 'lavance', 'employeur', 'manqu', 'chance', 'arriver', 'jour', 'retard', 'colis', 'retourner', 'fournisseur', 'jai', 'contacter', 'service', 'client', 'savoir', 'retourner', 'colis', 'bien', 'entendre', 'néter', 'être', 'rembourser', 'cerise', 'gâteau', 'fête', 'mère', 'gâcher', 'croyezmoi', 'céter', 'dernier', 'command', 'internet', 'mm', 'comptez', 'bien', 'partager', 'expérience', 'monde']"
"j ai acheté aujourd'hui une salade de crudites . a la maison je me suis rendue compte qu elle était à consommer jusqu à aujourdhui. et bien...les carottes avaient tourné et les rondelles de concombre étaient brunes au milieu...donc une suggestion...raccourcissez vos dates de peremption car vendre de la nourriture avariée, franchement, c est du vol....et ce n est pas la première fois...mais evidemment, quand on s en rend compte, le magasin est fermé ou c est le week end, donc difficile d aller rendre la marchandise...",neg,commentaire,"j ai acheté aujourd'hui une salade de crudites . a la maison je me suis rendue compte qu elle était à consommer jusqu à aujourdhui. et bien...les carottes avaient tourné et les rondelles de concombre étaient brunes au milieu...donc une suggestion...raccourcissez vos dates de peremption car vendre de la nourriture avariée, franchement, c est du vol....et ce n est pas la première fois...mais evidemment, quand on s en rend compte, le magasin est fermé ou c est le week end, donc difficile d aller rendre la marchandise...","['j', 'acheter', 'aujourdhui', 'salade', 'crudite', 'maison', 'rendre', 'compte', 'que', 'consommer', 'aujourdhui', 'bienle', 'carotte', 'tourner', 'rondelle', 'concombre', 'brun', 'milieudonc', 'suggestionraccourcissez', 'date', 'peremption', 'vendre', 'nourriture', 'avarier', 'franchement', 'c', 'volet', 'n', 'foismai', 'evidemment', 's', 'compte', 'magasin', 'fermer', 'c', 'week', 'end', 'difficile', 'd', 'aller', 'marchandise']"
"cafés et thés d’excellente qualité, livraison très rapide et interlocutrice adorable.  que demander de plus ?",pos,commentaire,"cafés et thés d’excellente qualité, livraison très rapide et interlocutrice adorable.  que demander de plus ?","['cafer', 'ther', 'excellent', 'qualité', 'livraison', 'rapide', 'interlocuteur', 'adorable', 'demander']"
merci à mr parany du service client qui a su régler le problème efficacement,pos,commentaire,merci à mr parany du service client qui a su régler le problème efficacement,"['mr', 'parany', 'service', 'client', 'savoir', 'régler', 'problème', 'efficacement']"
j’ai vraiment bien aimée le goût de jet lag c’était très efficace lors de mon voyage :),pos,commentaire,j’ai vraiment bien aimée le goût de jet lag c’était très efficace lors de mon voyage :),"['vraiment', 'bien', 'aimer', 'goût', 'jet', 'lag', 'efficace', 'voyage']"
"une catastrophe ! j’ai commandé et payé en ligne et n’ayant pas reçu ma commande j’ai téléphoné et laissé un message un monsieur m’a téléphoné pour me dire que la commande n’était jamais partie et que le livre n’était plus en stock maintenant.., je l’attendais pour l’anniversaire de mon fils c’est vraiment pas professionnel je ne réitérait plus une commande sur votre site",neg,commentaire,"une catastrophe ! j’ai commandé et payé en ligne et n’ayant pas reçu ma commande j’ai téléphoné et laissé un message un monsieur m’a téléphoné pour me dire que la commande n’était jamais partie et que le livre n’était plus en stock maintenant.., je l’attendais pour l’anniversaire de mon fils c’est vraiment pas professionnel je ne réitérait plus une commande sur votre site","['catastrophe', 'commander', 'payer', 'ligne', 'recevoir', 'commande', 'téléphoner', 'laisser', 'message', 'Monsieur', 'téléphoner', 'command', 'jamais', 'partie', 'livre', 'stock', 'attendre', 'anniversaire', 'fils', 'vraiment', 'professionnel', 'réitérer', 'commande', 'site']"
envoi très protégé et très rapide. merci beaucoup.,pos,commentaire,envoi très protégé et très rapide. merci beaucoup.,"['envoi', 'protéger', 'rapide', 'beaucoup']"
"j’ai commandé 4 tablettes différentes pour essayer cette marque. aucune ne m’a déçu, chacun de leurs chocolats est délicieux et unique. ça va certainement devenir la marque vers laquelle je vais me tourner quand j’aurais envie de chocolat noir.",pos,commentaire,"j’ai commandé 4 tablettes différentes pour essayer cette marque. aucune ne m’a déçu, chacun de leurs chocolats est délicieux et unique. ça va certainement devenir la marque vers laquelle je vais me tourner quand j’aurais envie de chocolat noir.","['commander', '4', 'tablette', 'essayer', 'marque', 'aucun', 'déçu', 'chocolat', 'délicieux', 'unique', 'certainement', 'devenir', 'marque', 'tourner', 'aurai', 'envier', 'chocolat', 'noir']"
j'ai acheté une boîte de chocolat dans la boutique près de chez moi pour pâques. le personnel de la boutique est très sympathique. malheureusement la qualité des chocolats de cette enseigne est extrêment décevante... on est très loin de celles de vrais artisans chocolatiers (on aurait pu s'endouter) mais même pour des chocolats industriels ils sont trop gras et bien trop sucrés (ça râpe la gorge). je déconseille cette marque si vous aimez vraiment le chocolat.,neg,commentaire,j'ai acheté une boîte de chocolat dans la boutique près de chez moi pour pâques. le personnel de la boutique est très sympathique. malheureusement la qualité des chocolats de cette enseigne est extrêment décevante... on est très loin de celles de vrais artisans chocolatiers (on aurait pu s'endouter) mais même pour des chocolats industriels ils sont trop gras et bien trop sucrés (ça râpe la gorge). je déconseille cette marque si vous aimez vraiment le chocolat.,"['jai', 'acheter', 'boîte', 'chocolat', 'boutique', 'pâques', 'personnel', 'boutique', 'sympathique', 'malheureusement', 'qualité', 'chocolat', 'enseigne', 'extrêmer', 'décever', 'loin', 'vrai', 'artisan', 'chocolatier', 'sendouter', 'chocolat', 'industriel', 'trop', 'gras', 'bien', 'trop', 'sucrer', 'râp', 'gorge', 'déconseiller', 'marque', 'aimer', 'vraiment', 'chocolat']"
bonne boutique,pos,commentaire,bonne boutique,"['bon', 'boutique']"
"1 kg de café acheté 28 euros il y a quelques mois désormais à 34 euros : peut être que c'était ma dernière commande, je verrai au moment de mon prochain réappro.",neg,commentaire,"1 kg de café acheté 28 euros il y a quelques mois désormais à 34 euros : peut être que c'était ma dernière commande, je verrai au moment de mon prochain réappro.","['1', 'kilogramme', 'café', 'acheter', '28', 'euro', 'mois', '34', 'euro', 'céter', 'dernier', 'command', 'voir', 'moment', 'prochain', 'réappro']"
"des flans pistache coupée a la crème pâtissière vanille. des salades avec des légumes crus ( haricots verts ). des pains au chocolat taille réduite. des parts de flamand également ( mais pas le prix) des gateaux individuels à 5 euros pour du congelé ou surgelés. mais le pire pour moi , est un service client inactif et complètement inutile . à part vous dire.. allez sur place , voyez avec un responsable.. ( ils en ont rien à faire, ils fuient) c’est quand même les responsables qui sont responsables de leur boutique, et au service client de faire le nécessaire",neg,commentaire,"des flans pistache coupée a la crème pâtissière vanille. des salades avec des légumes crus ( haricots verts ). des pains au chocolat taille réduite. des parts de flamand également ( mais pas le prix) des gateaux individuels à 5 euros pour du congelé ou surgelés. mais le pire pour moi , est un service client inactif et complètement inutile . à part vous dire.. allez sur place , voyez avec un responsable.. ( ils en ont rien à faire, ils fuient) c’est quand même les responsables qui sont responsables de leur boutique, et au service client de faire le nécessaire","['flan', 'pistache', 'coupé', 'crème', 'pâtissier', 'vanill', 'salade', 'légume', 'cru', 'haricot', 'vert', 'pain', 'chocolat', 'taille', 'réduire', 'part', 'flamand', 'prix', 'gateau', 'individuel', '5', 'euro', 'congelé', 'surgeler', 'pire', 'service', 'client', 'inactif', 'complètement', 'inutile', 'part', 'aller', 'place', 'voir', 'responsable', 'rien', 'faire', 'fuir', 'responsable', 'responsable', 'boutique', 'service', 'client', 'faire', 'nécessaire']"
"tres bien rien a redire , livraison tres rapide commande passer le 28 arrivée le 31, tres bon produit , le site m'a ete recommander par un ami et depuis j'achete que ici. je recommande vivement a+",pos,commentaire,"tres bien rien a redire , livraison tres rapide commande passer le 28 arrivée le 31, tres bon produit , le site m'a ete recommander par un ami et depuis j'achete que ici. je recommande vivement a+","['bien', 'rien', 'redire', 'livraison', 'rapide', 'command', 'passer', '28', 'arrivée', '31', 'bon', 'produit', 'site', 'ete', 'recommander', 'ami', 'jachete', 'ici', 'recommander', 'vivement']"
la sélection et la gamme des vins sont de grande qualité. ce site offre un très grand choix de vin pour ttes les bourses. la livraison est très rapide. je recommande ce site pour les amoureux de bon vin.,pos,commentaire,la sélection et la gamme des vins sont de grande qualité. ce site offre un très grand choix de vin pour ttes les bourses. la livraison est très rapide. je recommande ce site pour les amoureux de bon vin.,"['sélection', 'gamme', 'vin', 'grand', 'qualité', 'site', 'offrir', 'grand', 'choix', 'vin', 'tout', 'bourse', 'livraison', 'rapide', 'recommander', 'site', 'amoureux', 'bon', 'vin']"
j'adore ce thé au parfum extraordinaire,pos,commentaire,j'adore ce thé au parfum extraordinaire,"['jadore', 'thé', 'parfum', 'extraordinaire']"
"premier colis en retard, puis perdu mais un sav impeccable comme toujours. jamais déçue de maxicoffee. nouveau colis reçu dans la semaine de la conversation avec le sav.",pos,commentaire,"premier colis en retard, puis perdu mais un sav impeccable comme toujours. jamais déçue de maxicoffee. nouveau colis reçu dans la semaine de la conversation avec le sav.","['colis', 'retard', 'perdre', 'sav', 'impeccable', 'jamais', 'décevoir', 'maxicoffee', 'colis', 'recevoir', 'semaine', 'conversation', 'sav']"
"arnaque, rien reçu depuis mars 2026. 115€ de commande et juste une création d'étiquette fedex. attention !",neg,commentaire,"arnaque, rien reçu depuis mars 2026. 115€ de commande et juste une création d'étiquette fedex. attention !","['arnaque', 'rien', 'recevoir', 'mars', '2026', '115', 'euro', 'commande', 'création', 'détiquette', 'fedex', 'attention']"
